threshold_baseline,default,double,count_fractional,count_hi_lo,split_fractional,split_hi_lo
-0.0859,-0.05245,-0.0122,-0.048825,-0.042925,-0.07665,-0.0606
-0.0859,-0.0395,-0.0057,-0.0775,-0.036575,-0.0754,-0.06885
-0.0859,-0.04065,-0.008625,-0.04445,-0.0393,-0.0818,-0.07925
-0.0859,-0.04175,-0.011775,-0.05835,-0.0465,-0.07,-0.0647
-0.0859,-0.04715,-0.001275,-0.063375,-0.060575,-0.07995,-0.0693
-0.0859,-0.0494,-0.0085,-0.06235,-0.044525,-0.0793,-0.0583
-0.0859,-0.03265,-0.016225,-0.06465,-0.04465,-0.0603,-0.06855
-0.0859,-0.0484,-0.014125,-0.066375,-0.03935,-0.0892,-0.07245
-0.0859,-0.0327,-0.016925,-0.055275,-0.03265,-0.08405,-0.0546
-0.0859,-0.0475,-0.0059,-0.061325,-0.04575,-0.1002,-0.07405
-0.0859,-0.03735,0.005525,-0.05865,-0.0444,-0.0987,-0.06065
-0.0859,-0.04925,-0.00555,-0.049625,-0.0531,-0.0873,-0.07195
-0.0859,-0.04465,-0.014275,-0.0757,-0.041925,-0.0789,-0.06595
-0.0859,-0.04575,-0.019275,-0.082075,-0.045925,-0.08815,-0.0643
-0.0859,-0.04105,-0.002675,-0.0559,-0.047825,-0.07665,-0.0655
-0.0859,-0.05415,-0.001675,-0.07305,-0.047425,-0.07895,-0.07055
-0.0859,-0.0372,-0.0082,-0.071875,-0.053625,-0.0686,-0.0974
-0.0859,-0.0518,-0.0167,-0.0618,-0.0396,-0.0703,-0.0757
-0.0859,-0.04275,-0.02075,-0.06425,-0.049425,-0.09845,-0.06895
-0.0859,-0.04255,-0.00305,-0.061375,-0.061175,-0.10705,-0.07525
-0.0859,-0.04905,-0.0209,-0.07215,-0.06365,-0.07725,-0.0748
-0.0859,-0.0561,0.0017,-0.07885,-0.0583,-0.07825,-0.07675
-0.0859,-0.0505,-0.01285,-0.079075,-0.05345,-0.0818,-0.07945
-0.0859,-0.03995,-0.0033,-0.078725,-0.053875,-0.0768,-0.06865
-0.0859,-0.03625,-0.025625,-0.079575,-0.04815,-0.0857,-0.0832
