variant,flat_ev_round,spread_ev_round,spread_ev_unit,avg_bet
count_hi_lo,-0.035291,-0.052884,-0.033772875432985586,1.565872
split_hi_lo,-0.059954,-0.088654,-0.056994332325289554,1.555488
